scenario,t,dt,fps,updateMs,aiMs,collisionMs,drawCalls,heapUsedMB
large_battle,187660,21.700,46.08,0.000,0.000,0.000,126,56.9
large_battle,187674,13.500,74.07,0.000,0.000,0.000,126,67.3
large_battle,187689,14.700,68.03,0.000,0.000,0.000,126,67.3
large_battle,187709,19.900,50.25,0.000,0.000,0.000,126,67.3
large_battle,187724,15.900,62.89,0.100,0.000,0.000,126,79.6
large_battle,187739,14.500,68.97,0.000,0.000,0.000,126,79.6
large_battle,187758,19.400,51.55,0.100,0.000,0.000,126,79.6
large_battle,187780,21.500,46.51,0.000,0.100,0.000,126,92.0
large_battle,187792,12.100,82.64,0.000,0.000,0.000,126,92.0
large_battle,187805,13.500,74.07,0.100,0.000,0.000,126,92.0
large_battle,187823,17.300,57.80,0.100,0.000,0.000,126,92.0
large_battle,187839,16.700,59.88,0.100,0.100,0.000,126,49.2
large_battle,187856,16.100,62.11,0.100,0.000,0.000,126,49.2
large_battle,187872,16.500,60.61,0.100,0.000,0.000,126,49.2
large_battle,187889,16.700,59.88,0.100,0.000,0.000,126,49.2
large_battle,187906,16.800,59.52,0.000,0.100,0.000,126,65.7
large_battle,187925,19.000,52.63,0.100,0.000,0.000,126,65.7
large_battle,187943,18.800,53.19,0.000,0.000,0.000,126,65.7
large_battle,187957,13.400,74.63,0.000,0.000,0.000,126,78.0
large_battle,187972,15.600,64.10,0.100,0.000,0.000,126,78.0
large_battle,187990,17.200,58.14,0.000,0.000,0.000,126,78.0
large_battle,188006,16.000,62.50,0.100,0.000,0.000,126,78.0
large_battle,188022,16.700,59.88,0.200,0.000,0.000,126,94.5
large_battle,188039,16.700,59.88,0.100,0.000,0.000,126,94.5
large_battle,188059,20.400,49.02,0.000,0.000,0.000,126,94.5
large_battle,188077,17.200,58.14,0.100,0.000,0.000,126,50.0
large_battle,188097,20.800,48.08,0.100,0.000,0.000,126,50.0
large_battle,188111,13.500,74.07,0.000,0.000,0.000,126,50.0
large_battle,188124,13.400,74.63,0.000,0.000,0.000,126,50.0
large_battle,188142,18.200,54.95,0.000,0.000,0.000,126,62.6
large_battle,188160,17.600,56.82,0.000,0.000,0.000,126,62.6
large_battle,188174,13.700,72.99,0.100,0.100,0.000,126,62.6
large_battle,188189,15.400,64.94,0.000,0.100,0.000,126,62.6
large_battle,188206,16.500,60.61,0.000,0.100,0.000,126,77.2
large_battle,188223,16.900,59.17,0.100,0.000,0.000,126,77.2
large_battle,188240,17.300,57.80,0.000,0.000,0.000,126,77.2
large_battle,188262,22.200,45.05,0.000,0.000,0.000,126,89.5
large_battle,188275,12.500,80.00,0.100,0.000,0.000,126,89.5
large_battle,188292,17.800,56.18,0.200,0.000,0.000,126,89.5
large_battle,188314,21.900,45.66,0.000,0.000,0.000,126,99.9
large_battle,188330,15.900,62.89,0.000,0.000,0.000,126,99.9
large_battle,188340,9.800,102.04,0.100,0.000,0.000,126,99.9
large_battle,188361,21.400,46.73,0.200,0.000,0.000,126,99.9
large_battle,188375,13.700,72.99,0.100,0.000,0.000,126,55.2
large_battle,188397,21.900,45.66,0.000,0.100,0.000,125,55.2
large_battle,188411,13.800,72.46,0.100,0.000,0.000,126,55.2
large_battle,188424,13.700,72.99,0.100,0.000,0.000,126,55.2
large_battle,188441,16.600,60.24,0.100,0.000,0.000,126,67.8
